Date,Active Energy,Flights Climbed,Step Count,Walking + Running Distance
2021-06-19,,29.0,9810.0,6.43192
2021-06-20,,11.0,1936.0,1.20512
2021-06-21,,4.0,6100.0,3.79959
2021-06-22,,9.0,4159.0,2.70165
2021-06-23,,7.0,6896.0,4.54302
2021-06-24,,11.0,3165.0,2.0171
2021-06-25,,,1360.0,0.87158
2021-06-26,,,1094.0,0.74741
2021-06-27,,,1023.0,0.66294
2021-06-28,,,1667.0,1.08232
2021-06-29,,,777.0,0.50187
2021-06-30,,,1018.0,0.65579
2021-07-01,,,954.0,0.62043
2021-07-02,,8.0,3994.0,2.54827
2021-07-03,,8.0,3063.0,1.96157
2021-07-04,,4.0,1390.0,0.87481
2021-07-05,,1.0,2713.0,1.70994
2021-07-06,,1.0,3964.0,2.39607
2021-07-07,,,982.0,0.63191
2021-07-08,,,1265.0,0.81358
2021-07-09,,1.0,4175.0,2.7198700000000002
2021-07-10,,5.0,3752.0,2.35396
2021-07-11,,9.0,1966.0,1.27958
2021-07-12,,1.0,2837.0,1.71908
2021-07-13,,,1488.0,0.98017
2021-07-14,,8.0,4880.0,3.12597
2021-07-15,,3.0,5270.0,3.18186
2021-07-16,,,2296.0,1.47699
2021-07-17,,,3800.0,2.34025
2021-07-18,,6.0,3604.0,2.22094
2021-07-19,,,1361.0,0.88376
2021-07-20,,2.0,4466.0,2.86441
2021-07-21,,,5086.0,3.03303
2021-07-22,,,2339.0,1.44657
2021-07-23,,,2332.0,1.43545
2021-07-24,,7.0,6644.0,4.1112400000000004
2021-07-25,,5.0,2363.0,1.4643
2021-07-26,,,1850.0,1.21971
2021-07-27,,2.0,3645.0,2.32334
2021-07-28,,,1793.0,1.2171
2021-07-29,,,3054.0,1.95296
2021-07-30,,4.0,4359.0,2.90591
2021-07-31,,12.0,2595.0,1.63971
2021-08-01,,9.0,2645.0,1.70484
2021-08-02,,9.0,3565.0,2.26859
2021-08-03,,12.0,3874.0,2.4920400000000003
2021-08-04,,18.0,2905.0,1.93177
2021-08-05,,13.0,3749.0,2.40951
2021-08-06,,2.0,2698.0,1.72689
2021-08-07,,,1608.0,1.09115
2021-08-08,,,1965.0,1.30958
2021-08-09,,,1495.0,0.95682
2021-08-10,,,1805.0,1.13304
2021-08-11,,,1147.0,0.7770699999999999
2021-08-12,,2.0,4961.0,3.21818
2021-08-13,,3.0,3735.0,2.51808
2021-08-14,,,2311.0,1.53553
2021-08-15,,1.0,2015.0,1.3598000000000001
2021-08-16,,10.0,3130.0,1.96997
2021-08-17,,2.0,3370.0,2.2028
2021-08-18,,2.0,4261.0,2.85334
2021-08-19,,1.0,3038.0,2.0524
2021-08-20,,1.0,3031.0,1.9755
