Date,Active Energy,Flights Climbed,Step Count,Walking + Running Distance,School Period
2023-05-11,146.002,5.0,5476.0,3.88997,Freshman First Term
2023-05-12,192.73,9.0,7167.0,4.947488,Freshman First Term
2023-05-13,326.392,10.0,12891.0,8.729647,Freshman First Term
2023-05-14,76.011,10.0,3340.0,2.21733,Freshman First Term
2023-05-15,184.231,9.0,6606.0,4.81622,Freshman First Term
2023-05-16,131.544,13.0,4598.0,3.15876,Freshman First Term
2023-05-17,278.057,17.0,8285.0,5.865092,Freshman First Term
2023-05-18,207.101,7.0,7908.0,5.381624,Freshman First Term
2023-05-19,266.221,10.0,8423.0,5.54865,Freshman First Term
2023-05-20,180.619,9.0,6121.0,4.366513,Freshman First Term
2023-05-21,166.444,6.0,6386.0,4.23073,Freshman First Term
2023-05-22,265.682,10.0,8850.0,6.073663,Freshman First Term
2023-05-23,381.268,9.0,14319.0,9.676428,Freshman First Term
2023-05-24,298.76300000000003,11.0,9872.0,6.7203040000000005,Freshman First Term
2023-05-25,136.796,4.0,4903.0,3.36884,Freshman First Term
2023-05-26,360.789,17.0,12392.0,8.767979,Freshman First Term
2023-05-27,169.469,10.0,6821.0,4.437723,Freshman First Term
2023-05-28,155.255,14.0,6073.0,4.228130999999999,Freshman First Term
2023-05-29,131.809,14.0,4646.0,3.2760949999999998,Freshman First Term
2023-05-30,172.048,8.0,5982.0,4.12993,Freshman First Term
2023-05-31,242.992,11.0,8629.0,5.8330400000000004,Freshman First Term
2023-06-01,253.68099999999998,9.0,9120.0,6.0437,Freshman First Term
2023-06-02,188.607,13.0,6234.0,4.19365,Freshman First Term
2023-06-03,245.922,15.0,8591.0,5.79604,Freshman First Term
2023-06-04,316.342,13.0,10413.0,7.126637,Freshman First Term
2023-06-05,165.508,7.0,5734.0,4.0147520000000005,Freshman First Term
2023-06-06,301.709,10.0,9463.0,6.13529,Freshman First Term
2023-06-07,148.764,6.0,5548.0,3.7578620000000003,Freshman First Term
2023-06-08,264.72,12.0,9241.0,5.94053,Freshman First Term
2023-06-09,184.235,9.0,6104.0,4.35911,Freshman First Term
2023-06-10,417.63,19.0,14564.0,9.542087,Freshman First Term
2023-09-25,93.601,13.0,3704.0,2.61236,Freshman Second Term
2023-09-26,304.22,12.0,10286.0,7.263474,Freshman Second Term
2023-09-27,65.01,5.0,2827.0,1.93665,Freshman Second Term
2023-09-28,144.852,8.0,5738.0,3.991576,Freshman Second Term
2023-09-29,107.041,13.0,4219.0,2.84639,Freshman Second Term
2023-09-30,180.556,8.0,6403.0,4.2634705,Freshman Second Term
2023-10-01,189.901,6.0,6778.0,4.546201,Freshman Second Term
2023-10-02,142.674,5.0,5150.0,3.423383,Freshman Second Term
2023-10-03,177.13,13.0,5888.0,4.2227,Freshman Second Term
2023-10-04,226.299,6.0,7721.0,5.51973,Freshman Second Term
2023-10-05,216.025,5.0,6841.0,4.78163,Freshman Second Term
2023-10-06,334.171,16.0,10087.0,7.072891,Freshman Second Term
2023-10-07,171.352,3.0,6326.0,4.352565,Freshman Second Term
2023-10-08,321.186,24.0,8842.0,6.316503,Freshman Second Term
2023-10-09,263.33,18.0,9152.0,6.1638399999999995,Freshman Second Term
2023-10-10,237.555,12.0,7388.0,5.1132100000000005,Freshman Second Term
2023-10-11,220.76,7.0,7097.0,4.84109,Freshman Second Term
2023-10-12,188.022,9.0,5962.0,4.0214799999999995,Freshman Second Term
2023-10-13,276.221,11.0,8777.0,6.191766,Freshman Second Term
2023-10-14,59.658,,2176.0,1.516987,Freshman Second Term
2023-10-15,106.747,4.0,3714.0,2.67203,Freshman Second Term
2023-10-16,171.934,8.0,5797.0,4.063953,Freshman Second Term
2023-10-17,98.33500000000001,6.0,3239.0,2.17737,Freshman Second Term
2023-10-18,192.282,10.0,6320.0,4.44255,Freshman Second Term
2023-10-19,227.34,2.0,8734.0,6.19384,Freshman Second Term
2023-10-20,307.401,10.0,9496.0,6.769231,Freshman Second Term
2023-10-21,344.546,,11089.0,7.932386,Freshman Second Term
2023-10-22,391.831,21.0,11656.0,8.12164,Freshman Second Term
2023-10-23,169.513,10.0,5886.0,4.03164,Freshman Second Term
2023-10-24,144.426,10.0,4719.0,3.357619,Freshman Second Term
2023-10-25,181.833,4.0,7441.0,4.93381,Freshman Second Term
2023-10-26,487.969,19.0,13764.0,9.987991,Freshman Second Term
2023-10-27,310.254,7.0,10774.0,7.188643,Freshman Second Term
2023-10-28,173.024,4.0,5116.0,3.6807277,Freshman Second Term
2023-10-29,281.532,6.0,7739.0,5.057369,Freshman Second Term
2023-10-30,338.995,5.0,11351.0,7.436738,Freshman Second Term
2023-10-31,158.217,8.0,4935.0,3.4636171,Freshman Second Term
2023-11-01,270.62,10.0,9559.0,6.630262,Freshman Second Term
2023-11-02,142.807,6.0,4509.0,3.22063,Freshman Second Term
2023-11-03,456.593,18.0,13490.0,9.547361,Freshman Second Term
2023-11-04,407.191,16.0,11109.0,8.358354,Freshman Second Term
2023-11-05,132.373,3.0,4354.0,3.01607,Freshman Second Term
